                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2925,                 2.3123,                 1.5452,                0.70411,                0.09637,                0.10679,                0.05496,                 2.9339,                 2.5573,                 1.7979,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.3869,                  1.081,                 1.0686,                0.71777,                0.09778,                0.13975,                0.08013,                 2.8768,                 2.5532,                 1.8602,             0.00058522,             0.00058522,             0.00058522
                      3,                 1.1927,                0.83983,                0.99459,                0.27073,                0.24847,                0.17648,                 0.0998,                 2.8914,                 2.5598,                 1.8477,             0.00084825,             0.00084825,             0.00084825
                      4,                 1.0873,                0.72646,                0.95828,                0.52572,                 0.2021,                0.21195,                0.11013,                 3.0751,                 2.8022,                 1.9221,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.0114,                0.65362,                0.93675,                0.53129,                0.26317,                0.24503,                0.11568,                 2.9992,                 2.9903,                 1.9218,             0.00078901,             0.00078901,             0.00078901
                      6,                0.94115,                0.59817,                0.91566,                0.83672,                0.25837,                0.29737,                0.17028,                  2.959,                 2.8898,                 1.9172,             0.00075902,             0.00075902,             0.00075902
                      7,                0.91036,                0.57419,                0.90836,                0.27341,                0.18379,                0.19963,                 0.1161,                 2.9278,                 3.5532,                 1.8585,             0.00072902,             0.00072902,             0.00072902
                      8,                0.86094,                0.54107,                0.89633,                0.31972,                 0.2494,                0.24052,                0.13627,                 2.9355,                 3.0558,                 1.8746,             0.00069902,             0.00069902,             0.00069902
                      9,                0.83174,                0.51932,                0.88814,                0.36996,                0.28227,                0.28259,                0.15396,                 3.0671,                 3.2026,                 1.9432,             0.00066902,             0.00066902,             0.00066902
                     10,                0.80932,                 0.4993,                0.88183,                0.61327,                0.24473,                0.23962,                0.14587,                 2.9645,                 3.3782,                 1.9035,             0.00063903,             0.00063903,             0.00063903
                     11,                0.77837,                0.48227,                0.87497,                0.27527,                0.23838,                 0.2145,                0.12397,                 3.0326,                 3.2048,                 1.9729,             0.00060903,             0.00060903,             0.00060903
                     12,                0.76303,                0.47253,                0.87088,                0.28518,                0.22432,                0.22444,                0.14345,                 2.7874,                 3.1998,                 1.8424,             0.00057903,             0.00057903,             0.00057903
                     13,                0.73992,                0.46048,                 0.8659,                0.50165,                0.14739,                0.21017,                0.12795,                 2.9571,                 2.9374,                 2.0196,             0.00054904,             0.00054904,             0.00054904
                     14,                0.73028,                0.45079,                0.86238,                0.71904,                0.13003,                0.22761,                0.14269,                 3.0198,                 3.3873,                 1.9303,             0.00051904,             0.00051904,             0.00051904
                     15,                0.71408,                0.44275,                0.85993,                0.35985,                 0.2648,                0.24645,                0.14703,                 2.9135,                 3.3721,                 1.8771,             0.00048904,             0.00048904,             0.00048904
                     16,                0.70597,                0.43886,                0.85861,                0.35912,                0.23748,                0.25211,                0.15314,                 2.8326,                 3.3582,                 1.8499,             0.00045904,             0.00045904,             0.00045904
                     17,                0.68275,                0.42572,                0.85432,                0.31673,                0.24207,                 0.2491,                0.15479,                 2.9771,                 3.7992,                 1.8575,             0.00042905,             0.00042905,             0.00042905
                     18,                 0.6685,                0.41729,                0.85204,                0.30955,                0.24611,                0.25047,                0.15379,                 2.8614,                 3.2371,                 1.9084,             0.00039905,             0.00039905,             0.00039905
                     19,                0.66153,                0.41068,                0.84848,                0.36247,                0.28444,                0.24876,                0.15367,                 2.8458,                 3.2403,                 1.8672,             0.00036905,             0.00036905,             0.00036905
                     20,                0.64161,                 0.3995,                0.84576,                0.34376,                0.25615,                0.25374,                0.15772,                 2.8733,                  3.534,                 1.8226,             0.00033906,             0.00033906,             0.00033906
                     21,                0.64156,                0.39076,                0.84652,                0.36445,                0.27784,                 0.2569,                0.15826,                 2.8192,                 3.6591,                 1.8203,             0.00030906,             0.00030906,             0.00030906
                     22,                0.61293,                0.37683,                 0.8384,                0.33957,                0.20887,                0.26156,                0.16114,                 2.7563,                 3.3775,                 1.8198,             0.00027906,             0.00027906,             0.00027906
                     23,                0.59828,                0.36733,                0.83752,                0.45434,                 0.2522,                0.26258,                0.16743,                 2.7754,                   3.67,                 1.8277,             0.00024907,             0.00024907,             0.00024907
                     24,                0.57556,                0.35636,                0.83341,                0.46462,                0.27228,                0.28249,                0.18454,                 2.6926,                 3.5677,                 1.8246,             0.00021907,             0.00021907,             0.00021907
                     25,                0.55674,                0.34616,                0.82959,                0.37682,                0.25572,                0.26451,                0.16738,                 2.8155,                 3.7572,                 1.8894,             0.00018907,             0.00018907,             0.00018907
                     26,                0.54741,                0.34242,                0.82617,                0.34527,                0.24328,                0.26321,                0.16257,                 2.8237,                 3.7308,                 1.8395,             0.00015907,             0.00015907,             0.00015907
                     27,                 0.5315,                0.33362,                0.82413,                0.37412,                0.24073,                0.27081,                0.17813,                 2.8091,                 3.8627,                 1.8587,             0.00012908,             0.00012908,             0.00012908
                     28,                 0.5167,                0.32616,                0.82071,                0.35668,                0.23538,                0.26683,                0.18174,                 2.8409,                 3.8376,                 1.8478,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.49783,                 0.3186,                0.81856,                0.38823,                0.25533,                0.27277,                0.18272,                 2.7908,                 3.7728,                 1.8494,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.48674,                0.31219,                0.81654,                0.39022,                0.25481,                0.27265,                0.18444,                 2.8283,                 3.8602,                 1.8607,             3.9087e-05,             3.9087e-05,             3.9087e-05
