                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8492,                  7.461,                  1.954,                0.85464,                0.25767,                0.16431,                0.06897,                 2.5189,                 3.3498,                  1.536,             0.00029717,             0.00029717,             0.00029717
                      2,                  1.785,                 1.5095,                 1.3128,                0.80386,                 0.1227,                0.08118,                 0.0342,                 2.9012,                  4.292,                 2.1788,             0.00057046,             0.00057046,             0.00057046
                      3,                 1.6011,                 1.1877,                 1.1982,                0.44451,                 0.1227,                 0.1084,                0.03007,                 2.7814,                 3.9556,                 1.9339,             0.00081376,             0.00081376,             0.00081376
                      4,                  1.504,                 1.0756,                 1.1717,                0.50234,                0.14928,                0.14398,                0.05056,                 2.7786,                 3.8664,                 2.1002,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.3848,                0.89912,                 1.1065,                0.53801,                0.23517,                0.19617,                0.06206,                 2.8582,                 3.4463,                 1.8823,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.3304,                0.82764,                 1.0781,                0.45485,                0.17128,                0.08911,                0.03416,                 2.7996,                 4.2156,                 2.0621,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.2904,                 0.7989,                 1.0651,                0.52234,                0.15542,                0.17177,                0.04884,                 3.0273,                 3.5635,                 2.1069,             0.00063903,             0.00063903,             0.00063903
                      8,                  1.244,                0.75785,                 1.0388,                0.51371,                0.13497,                0.11099,                0.03806,                  2.919,                 4.0394,                 2.3394,             0.00059403,             0.00059403,             0.00059403
                      9,                  1.206,                0.70627,                 1.0348,                0.51807,                0.14928,                0.16307,                 0.0561,                 2.8126,                 3.7273,                 2.0907,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.1702,                0.67673,                 1.0111,                0.48509,                0.18405,                0.11873,                0.04197,                 2.7578,                 3.9106,                 2.0313,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.1823,                0.67678,                  1.018,                0.49517,                0.13292,                0.12481,                0.04631,                 2.7878,                 4.0719,                 1.9821,             0.00045904,             0.00045904,             0.00045904
                     12,                 1.1384,                0.66431,                0.98676,                0.54698,                0.16155,                0.17704,                0.06642,                 2.7749,                 3.9878,                 1.8774,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.1076,                0.62918,                0.99594,                0.46377,                0.17587,                0.13305,                0.04153,                 2.7976,                 3.8553,                 2.1253,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.0717,                0.60607,                0.97424,                0.50335,                0.14928,                0.12189,                0.04074,                 2.8673,                 4.0465,                 2.2199,             0.00032406,             0.00032406,             0.00032406
                     15,                 1.0483,                0.59846,                0.96865,                0.50982,                0.16107,                0.15518,                0.05753,                 2.6938,                 4.1551,                 1.8858,             0.00027906,             0.00027906,             0.00027906
                     16,                0.99317,                0.54475,                 0.9526,                0.52578,                0.20041,                0.17874,                0.06219,                 2.7596,                 3.8455,                 1.9267,             0.00023407,             0.00023407,             0.00023407
                     17,                 1.0081,                 0.5511,                0.95054,                0.49509,                0.14928,                0.16854,                0.06161,                 2.7792,                 4.0252,                 2.0357,             0.00018907,             0.00018907,             0.00018907
                     18,                0.94298,                0.52185,                0.93015,                0.52013,                0.18771,                0.19233,                 0.0744,                 2.6426,                 3.8523,                 1.8804,             0.00014408,             0.00014408,             0.00014408
                     19,                0.92324,                0.51293,                0.92268,                 0.4877,                0.18873,                0.16134,                0.05914,                 2.7359,                 4.0048,                 1.9435,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                0.91472,                0.51166,                0.92835,                0.49361,                0.17993,                0.18388,                0.06497,                  2.722,                 3.9366,                 1.9766,             5.4086e-05,             5.4086e-05,             5.4086e-05
