                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6412,                   8.49,                 1.9465,                0.09341,                0.18627,                0.07803,                 0.0168,                 2.9342,                 3.1918,                 1.2502,             0.00030027,             0.00030027,             0.00030027
                      2,                 1.7542,                 1.5779,                 1.3178,                0.25272,                0.22745,                0.14804,                0.03618,                 2.8301,                 3.3241,                 1.2561,             0.00059133,             0.00059133,             0.00059133
                      3,                 1.5906,                 1.2138,                 1.2337,                0.32031,                0.80392,                0.65163,                   0.26,                 2.6217,                 3.2723,                 1.3018,             0.00087038,             0.00087038,             0.00087038
                      4,                 1.5417,                 1.1075,                 1.1951,                0.53452,                0.37255,                0.32998,                0.07845,                 3.2273,                 1.8778,                 1.6194,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.4432,                0.94568,                 1.1478,                0.39354,                0.28235,                0.22242,                0.04536,                 3.2942,                 2.1441,                 1.4272,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.4136,                 0.9082,                 1.1337,                0.30472,                0.36265,                0.27723,                0.07107,                 2.8048,                 2.6198,                 1.1781,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.3478,                0.83768,                  1.104,                0.09964,                0.49216,                0.09455,                0.02382,                 3.3045,                 2.7768,                 1.3659,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.2874,                 0.8047,                 1.0845,                 0.5867,                    0.6,                0.59301,                0.14917,                 2.7663,                 1.5426,                 1.2664,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.2946,                0.79187,                 1.0899,                0.49205,                0.56863,                0.46467,                0.10732,                 2.6929,                 1.5981,                 1.2186,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.2644,                0.75379,                 1.0716,                0.37794,                0.37059,                0.31231,                 0.0761,                 2.9505,                 2.2773,                 1.2631,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.2241,                0.72462,                 1.0637,                 0.3653,                0.48039,                0.31714,                0.07055,                  3.066,                 1.6998,                 1.3939,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.2063,                 0.7263,                 1.0438,                0.11713,                0.19216,                0.07616,                0.01505,                  3.571,                 2.5439,                 1.4429,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.2048,                0.69077,                 1.0456,                 0.5663,                0.48901,                 0.4939,                0.10526,                 3.2151,                 1.5245,                  1.477,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.1818,                0.68449,                 1.0441,                0.45961,                0.40691,                0.39994,                0.08582,                 3.1489,                 2.0899,                 1.3883,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.1668,                 0.7023,                 1.0345,                0.46835,                0.48711,                0.39671,                0.08318,                 3.2212,                 1.7506,                  1.399,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.1577,                0.67528,                 1.0182,                0.06362,                0.25098,                0.04206,                0.00914,                 3.4176,                 3.7318,                 1.4186,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.1387,                0.66729,                 1.0196,                0.46702,                0.27451,                0.30907,                0.06126,                 3.0201,                 2.4277,                 1.3112,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.1175,                0.64493,                 1.0076,                0.36709,                0.23529,                0.18266,                0.03965,                 3.4152,                 2.1386,                 1.4716,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.0879,                0.62364,                0.99475,                0.63756,                0.48235,                0.49826,                0.10944,                 2.9966,                 1.7088,                 1.3527,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.0859,                 0.6135,                0.99749,                0.26593,                0.32941,                0.23488,                0.05707,                 3.0069,                 2.2614,                 1.2594,             0.00056703,             0.00056703,             0.00056703
                     21,                   1.07,                0.60491,                0.99515,                0.45658,                0.34902,                0.35585,                0.08427,                  2.963,                  2.182,                 1.2711,             0.00054904,             0.00054904,             0.00054904
                     22,                   1.08,                 0.6157,                 0.9965,                0.50063,                0.51373,                 0.4746,                0.11421,                 2.9371,                 1.6746,                 1.2811,             0.00053104,             0.00053104,             0.00053104
