                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9791,                 1.9465,                 1.4417,                0.74936,                0.10336,                0.12141,                0.06904,                  3.095,                 2.3926,                  2.014,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.1738,                0.73515,                  0.998,                0.25673,                0.16265,                0.21659,                0.11023,                  3.043,                 2.8597,                 2.0963,             0.00058522,             0.00058522,             0.00058522
                      3,                 1.0338,                0.62349,                0.95138,                0.38035,                0.27539,                 0.2747,                0.14478,                 3.2556,                 3.0499,                 2.1951,             0.00084825,             0.00084825,             0.00084825
                      4,                0.94429,                 0.5646,                0.92573,                0.30442,                0.14191,                0.16239,                0.09353,                 3.3877,                 3.3357,                 2.1718,             0.00081901,             0.00081901,             0.00081901
                      5,                0.88264,                0.52466,                0.90793,                0.54147,                0.12848,                0.16516,                0.10526,                 3.4062,                 3.7742,                 2.2182,             0.00078901,             0.00078901,             0.00078901
                      6,                0.81787,                0.48377,                0.88888,                0.44059,                0.23363,                0.26077,                0.14014,                 3.2372,                 3.5614,                 2.1468,             0.00075902,             0.00075902,             0.00075902
                      7,                0.78096,                0.46602,                0.88169,                 0.5923,                 0.1444,                0.21577,                 0.1292,                 3.2422,                 3.6255,                 2.0975,             0.00072902,             0.00072902,             0.00072902
                      8,                0.75104,                0.44609,                0.87421,                0.34571,                0.20889,                0.20399,                0.11757,                 3.2642,                 3.5936,                  2.072,             0.00069902,             0.00069902,             0.00069902
                      9,                0.72425,                0.43124,                0.86593,                0.53215,                0.25093,                0.30595,                0.16161,                 3.2028,                  3.623,                 2.0578,             0.00066902,             0.00066902,             0.00066902
                     10,                0.70401,                0.42114,                0.86347,                0.41184,                0.25184,                0.29274,                0.15795,                 3.1917,                 3.8468,                 2.1805,             0.00063903,             0.00063903,             0.00063903
                     11,                0.67611,                0.40415,                0.85444,                0.71888,                0.24815,                0.27059,                0.16542,                  3.037,                 3.8222,                 2.0732,             0.00060903,             0.00060903,             0.00060903
                     12,                0.66525,                0.39853,                0.85304,                0.62592,                0.15503,                0.26591,                0.16917,                 2.9662,                 3.7171,                 1.9876,             0.00057903,             0.00057903,             0.00057903
                     13,                0.63891,                0.38523,                 0.8478,                 0.8028,                 0.2785,                0.32231,                0.19939,                 2.9861,                 3.8432,                 2.0903,             0.00054904,             0.00054904,             0.00054904
                     14,                0.62952,                0.37744,                0.84421,                0.63423,                0.14676,                0.21918,                0.15758,                 3.2141,                 3.8219,                 2.1176,             0.00051904,             0.00051904,             0.00051904
                     15,                0.61159,                0.36808,                0.84113,                0.45194,                0.18462,                0.23664,                0.14909,                  3.199,                 4.1452,                 2.1769,             0.00048904,             0.00048904,             0.00048904
                     16,                 0.6061,                0.36625,                 0.8402,                 0.6635,                0.13768,                0.25504,                0.16861,                 3.2578,                 4.1245,                 2.2067,             0.00045904,             0.00045904,             0.00045904
                     17,                0.58662,                0.35709,                0.83737,                0.54115,                0.15694,                0.22336,                0.14528,                 3.2298,                 3.7441,                 2.0765,             0.00042905,             0.00042905,             0.00042905
                     18,                0.57218,                0.34824,                0.83464,                0.56655,                0.17477,                0.27098,                0.17272,                 3.2898,                 4.0166,                  2.336,             0.00039905,             0.00039905,             0.00039905
                     19,                0.56638,                0.34403,                0.83241,                0.42641,                0.18076,                0.25173,                0.15535,                 3.1818,                  4.036,                 2.1395,             0.00036905,             0.00036905,             0.00036905
                     20,                0.54636,                0.33303,                0.82957,                0.47717,                0.18162,                0.27031,                0.17296,                  3.121,                 3.8984,                 2.1949,             0.00033906,             0.00033906,             0.00033906
                     21,                0.55226,                0.32851,                0.82944,                0.49605,                0.19652,                0.30454,                0.18349,                 3.1499,                 4.3276,                 2.1894,             0.00030906,             0.00030906,             0.00030906
                     22,                0.54003,                0.32146,                0.82503,                0.45459,                0.20404,                0.27624,                 0.1645,                 3.1838,                 4.0883,                 2.1464,             0.00027906,             0.00027906,             0.00027906
                     23,                0.51991,                0.30954,                0.82252,                0.63125,                0.27489,                0.34871,                0.19183,                 3.1059,                 4.0883,                 2.1656,             0.00024907,             0.00024907,             0.00024907
                     24,                0.50366,                0.30242,                0.81953,                0.54414,                0.23994,                0.33912,                0.18983,                 3.1109,                 4.1913,                 2.1461,             0.00021907,             0.00021907,             0.00021907
                     25,                0.48265,                0.29136,                0.81552,                0.56102,                0.19262,                0.32254,                0.19107,                 3.1609,                 4.1665,                 2.1767,             0.00018907,             0.00018907,             0.00018907
                     26,                0.47042,                0.28502,                0.81183,                 0.6286,                0.21655,                0.34034,                 0.2025,                  3.038,                 4.0266,                 2.1499,             0.00015907,             0.00015907,             0.00015907
                     27,                0.45656,                0.27653,                0.81048,                 0.5794,                0.19426,                0.32563,                0.20056,                 3.1351,                 4.2474,                 2.1922,             0.00012908,             0.00012908,             0.00012908
                     28,                0.44373,                0.26994,                0.80721,                0.67229,                0.23993,                0.36342,                0.20951,                  3.117,                  4.108,                  2.214,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                 0.4267,                 0.2629,                0.80526,                0.66943,                0.22689,                0.35994,                0.21411,                 3.0644,                  4.082,                 2.1611,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.41037,                0.25454,                0.80201,                0.54348,                0.23366,                0.35862,                0.21746,                 3.0587,                 4.1987,                 2.1523,             3.9087e-05,             3.9087e-05,             3.9087e-05
