                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7585,                  1.416,                 1.3678,                0.45007,                0.08257,                0.05979,                0.01871,                 3.6485,                 3.3124,                 2.3028,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.0903,                0.64917,                0.99618,                0.54369,                0.05158,                0.06222,                0.02888,                 3.6557,                 3.4851,                 2.6431,             0.00058522,             0.00058522,             0.00058522
                      3,                0.97531,                0.57075,                0.95636,                0.33773,                0.14876,                0.15206,                0.04469,                 3.7436,                 3.9561,                 2.2899,             0.00084825,             0.00084825,             0.00084825
                      4,                0.88639,                0.50784,                0.92522,                0.38857,                0.18247,                0.19186,                0.07352,                 3.5468,                 3.4362,                 2.4066,             0.00081901,             0.00081901,             0.00081901
                      5,                 0.8092,                0.46309,                0.90353,                0.46729,                0.18671,                0.14498,                0.06747,                 3.4921,                 3.7546,                 2.1307,             0.00078901,             0.00078901,             0.00078901
                      6,                0.76387,                0.43687,                0.88813,                0.49467,                0.18158,                0.19793,                0.10123,                 3.6674,                 4.6199,                  2.322,             0.00075902,             0.00075902,             0.00075902
                      7,                0.71655,                0.41319,                0.87712,                0.27308,                 0.1708,                0.21186,                0.08843,                 3.6503,                 3.8249,                  2.364,             0.00072902,             0.00072902,             0.00072902
                      8,                0.69146,                0.39307,                0.86778,                0.24477,                0.19602,                0.18114,                0.08019,                 3.7479,                 3.5436,                 2.3446,             0.00069902,             0.00069902,             0.00069902
                      9,                0.66251,                0.38204,                 0.8642,                0.11366,                0.19896,                0.15705,                0.09154,                 3.7655,                 4.3217,                 2.3041,             0.00066902,             0.00066902,             0.00066902
                     10,                0.64377,                0.37096,                0.85929,                0.11556,                0.22755,                0.14956,                0.08423,                  3.629,                 3.8513,                 2.3908,             0.00063903,             0.00063903,             0.00063903
                     11,                 0.6249,                0.35786,                0.85296,                 0.2543,                0.19191,                0.16334,                0.07776,                 3.7646,                 3.8792,                 2.4553,             0.00060903,             0.00060903,             0.00060903
                     12,                0.60533,                0.34958,                0.84887,                 0.1131,                   0.23,                0.16818,                0.09629,                 3.7118,                 4.8428,                 2.3743,             0.00057903,             0.00057903,             0.00057903
                     13,                0.58637,                 0.3393,                0.84522,                0.25329,                0.14948,                0.14631,                0.08532,                 3.5852,                 4.0161,                 2.3085,             0.00054904,             0.00054904,             0.00054904
                     14,                0.57108,                0.33113,                 0.8408,                0.15193,                0.20961,                0.19017,                0.11683,                 3.6631,                 4.4697,                 2.3231,             0.00051904,             0.00051904,             0.00051904
                     15,                0.55884,                0.32529,                0.83873,                0.12348,                0.17731,                0.14115,                0.07095,                 3.7085,                 4.3696,                 2.3897,             0.00048904,             0.00048904,             0.00048904
                     16,                0.54469,                0.31842,                0.83646,                0.15141,                0.19553,                0.17063,                0.10106,                 3.6399,                 4.6498,                 2.3998,             0.00045904,             0.00045904,             0.00045904
                     17,                0.53126,                0.31129,                0.83347,                0.13301,                0.22007,                0.16069,                0.09954,                 3.7307,                 4.3805,                 2.3975,             0.00042905,             0.00042905,             0.00042905
                     18,                0.52108,                0.30509,                0.83148,                0.13593,                0.21878,                0.18139,                0.10737,                 3.6285,                 4.2072,                 2.3935,             0.00039905,             0.00039905,             0.00039905
                     19,                0.51227,                0.30106,                0.82862,                 0.2754,                0.16822,                0.20557,                0.12576,                 3.6133,                 4.3601,                 2.3934,             0.00036905,             0.00036905,             0.00036905
                     20,                0.49619,                0.29176,                0.82684,                0.13444,                0.22853,                0.19568,                0.10676,                  3.695,                  4.306,                 2.4971,             0.00033906,             0.00033906,             0.00033906
                     21,                0.50241,                 0.2853,                0.82579,                0.52196,                0.18866,                0.22554,                0.13607,                 3.6473,                 3.7852,                 2.5318,             0.00030906,             0.00030906,             0.00030906
                     22,                0.49162,                0.27966,                0.82188,                0.33165,                0.16302,                 0.2017,                0.11651,                 3.6737,                 4.2013,                 2.5217,             0.00027906,             0.00027906,             0.00027906
                     23,                0.47777,                0.26989,                0.82063,                0.32214,                0.18439,                 0.1965,                0.11494,                 3.6604,                 4.0525,                 2.5203,             0.00024907,             0.00024907,             0.00024907
