                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2215,                 9.7503,                 2.3297,                0.42816,                0.07566,                0.04625,                0.01115,                 3.5852,                 3.8129,                 2.7401,             0.00029706,             0.00029706,             0.00029706
                      2,                 2.0509,                 1.9727,                 1.5564,                0.40619,                0.10838,                0.03758,                0.01237,                 2.7946,                 4.9207,                 1.9894,             0.00058818,             0.00058818,             0.00058818
                      3,                 1.7063,                 1.4031,                 1.3123,                0.43737,                0.11247,                0.05167,                0.02069,                 2.7805,                 4.7248,                 2.0885,              0.0008673,              0.0008673,              0.0008673
                      4,                 1.5567,                 1.1391,                 1.2219,                0.07786,                0.13292,                0.04856,                0.01386,                 2.8269,                   4.53,                 2.4145,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.5136,                 1.0583,                 1.1996,                0.48809,                 0.1411,                0.10391,                0.03105,                 2.5905,                 4.1848,                 2.0674,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.4169,                0.97039,                 1.1368,                0.20318,                0.13906,                0.12403,                0.03758,                 3.2511,                 4.0156,                 2.4896,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.3491,                0.89685,                 1.1366,                0.09301,                 0.1227,                0.07568,                0.02622,                 2.7875,                 4.2202,                 2.1888,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.3354,                0.85292,                 1.1148,                0.44761,                0.10634,                0.05091,                0.02178,                 3.1396,                 4.1488,                 2.9714,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.2755,                0.82891,                 1.0757,                0.04188,                0.15135,                0.02947,                0.00894,                 2.8883,                 4.7115,                 2.2957,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.2607,                0.80112,                 1.0866,                0.04539,                0.12679,                0.02893,                 0.0101,                 2.9331,                  4.608,                 2.2537,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.2268,                0.77236,                  1.055,                  0.399,                0.10429,                0.03706,                0.01336,                 2.8929,                 4.6046,                 2.3216,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.2203,                0.74825,                 1.0424,                0.14791,                0.11452,                0.08092,                0.02633,                 2.7795,                 4.5614,                 2.2823,             0.00071102,             0.00071102,             0.00071102
