                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3446,                 44.825,                 2.6815,                      0,                      0,                      0,                      0,                 4.4569,                 30.366,                 2.9371,             0.00015453,             0.00015453,             0.00015453
                      2,                 2.6827,                 6.2493,                 1.6586,                0.17143,                0.65753,                0.21913,                0.07498,                 2.6279,                 3.7307,                 2.5063,             0.00031185,             0.00031185,             0.00031185
                      3,                 2.1795,                 3.0692,                 1.4571,                0.23987,                0.27397,                0.15343,                0.04324,                 2.8439,                 3.0117,                 2.6486,             0.00046269,             0.00046269,             0.00046269
                      4,                 1.8979,                 2.0854,                 1.3481,                0.29177,                0.13014,                 0.1479,                0.05115,                  2.632,                 4.5451,                  2.514,             0.00060705,             0.00060705,             0.00060705
                      5,                 1.8148,                 1.7792,                 1.3137,                0.45141,                0.18037,                0.19907,                0.06351,                 3.0584,                 3.7187,                 2.6883,             0.00074494,             0.00074494,             0.00074494
                      6,                 1.8562,                 1.6137,                 1.3012,                0.42358,                0.10959,                0.12977,                0.02329,                 3.9123,                 2.8245,                 3.7855,             0.00081901,             0.00081901,             0.00081901
                      7,                  1.681,                 1.3553,                 1.2538,                0.58321,                0.24658,                0.25109,                0.05982,                 3.4393,                  2.638,                 3.4779,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.6236,                 1.2599,                 1.1974,                0.51974,                0.30137,                0.30656,                0.07224,                 3.4327,                 2.5753,                 3.7569,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.7454,                 1.2538,                 1.2182,                0.56372,                0.28767,                0.29633,                0.07334,                 3.2742,                 1.8165,                 3.5212,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.5086,                 1.1182,                 1.1429,                0.36018,                0.26027,                0.25189,                0.05885,                 3.4309,                 2.7994,                 3.9039,             0.00074702,             0.00074702,             0.00074702
                     11,                  1.388,                 1.0258,                 1.1292,                0.07186,                0.16438,                0.04482,                0.01252,                 4.0008,                 3.6481,                 4.8857,             0.00072902,             0.00072902,             0.00072902
                     12,                  1.475,                 1.0275,                 1.1524,                0.02846,                0.14384,                0.01897,                0.00604,                 4.1625,                 3.2521,                 4.8937,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.3594,                0.90666,                 1.1205,                0.08829,                0.31507,                0.07453,                0.01712,                 3.6939,                 3.6419,                 4.0483,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.4865,                0.94696,                 1.1566,                0.08333,                 0.4726,                0.07812,                0.01881,                 3.7827,                 2.6554,                 4.5017,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.3773,                0.87329,                 1.0932,                 0.2536,                0.22603,                0.13125,                0.03206,                 3.5171,                 2.3576,                 3.7827,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.1682,                0.80515,                 1.0315,                0.05322,                0.32877,                0.05661,                0.01046,                 4.1736,                  3.192,                 4.5577,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.2831,                 0.8292,                 1.0401,                0.04455,                0.18493,                 0.0296,                0.00533,                 4.1622,                 3.7871,                 4.7892,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.2142,                0.80829,                 1.0139,                0.31014,                0.05479,                0.05636,                0.00782,                 4.0117,                 4.3643,                 4.6221,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.2583,                 0.8594,                 1.0638,                0.06287,                0.14384,                0.03612,                 0.0104,                 4.1018,                 3.6345,                 4.8629,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.1669,                 0.7868,                 1.0271,                0.04244,                0.10959,                0.02484,                0.00448,                 4.3113,                 3.3263,                 5.2988,             0.00056703,             0.00056703,             0.00056703
                     21,                  1.126,                 0.7321,                  1.039,                0.07396,                0.06164,                0.02704,                0.00469,                 4.2624,                 3.5479,                 5.2781,             0.00054904,             0.00054904,             0.00054904
                     22,                 1.1637,                0.70916,                 1.0111,                0.10402,                0.08219,                0.02861,                0.00486,                 4.2321,                 3.0017,                  4.826,             0.00053104,             0.00053104,             0.00053104
                     23,                  1.144,                0.71113,                0.99291,                 0.0829,                0.07534,                0.02446,                0.00436,                 4.2829,                 3.3514,                 5.3302,             0.00051304,             0.00051304,             0.00051304
                     24,                 1.1742,                0.76598,                 1.0112,                0.25224,                0.17123,                0.15022,                0.05588,                 3.5701,                  3.272,                 4.1994,             0.00049504,             0.00049504,             0.00049504
                     25,                  1.074,                0.64453,                0.98832,                0.09408,                0.18493,                0.07153,                0.01303,                  3.904,                  3.619,                 4.5433,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.1203,                0.64638,                 1.0061,                0.04677,                0.14384,                0.04009,                0.00762,                 4.1075,                 3.8019,                 4.7294,             0.00045904,             0.00045904,             0.00045904
