                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7585,                  1.416,                 1.3678,                0.53516,                0.14474,                0.14484,                0.07053,                  3.379,                 2.9547,                 2.1214,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.0903,                0.64917,                0.99618,                0.93419,                0.11506,                0.14972,                0.09778,                 3.3313,                 3.1358,                 2.3884,             0.00058522,             0.00058522,             0.00058522
                      3,                0.97531,                0.57075,                0.95636,                0.27945,                0.21938,                0.23932,                0.11684,                 3.4283,                 3.5919,                  2.079,             0.00084825,             0.00084825,             0.00084825
                      4,                0.88639,                0.50784,                0.92522,                0.44653,                0.25861,                0.31203,                0.16108,                 3.2656,                 3.1846,                 2.2028,             0.00081901,             0.00081901,             0.00081901
                      5,                 0.8092,                0.46309,                0.90353,                 0.7286,                0.25755,                0.29456,                0.16353,                 3.1663,                 3.4425,                 1.9285,             0.00078901,             0.00078901,             0.00078901
                      6,                0.76387,                0.43687,                0.88813,                0.51337,                0.29468,                 0.3006,                 0.1803,                 3.3357,                 4.2688,                 2.1176,             0.00075902,             0.00075902,             0.00075902
                      7,                0.71655,                0.41319,                0.87712,                0.43383,                0.25666,                0.33452,                0.18038,                  3.338,                 3.4659,                 2.1453,             0.00072902,             0.00072902,             0.00072902
                      8,                0.69146,                0.39307,                0.86778,                0.64108,                0.29864,                0.31479,                0.17786,                 3.4203,                 3.1962,                 2.1416,             0.00069902,             0.00069902,             0.00069902
                      9,                0.66251,                0.38204,                 0.8642,                0.36071,                0.22344,                0.28503,                0.18872,                 3.4426,                 3.8996,                 2.1059,             0.00066902,             0.00066902,             0.00066902
                     10,                0.64377,                0.37096,                0.85929,                0.62312,                0.18099,                0.31302,                0.19703,                  3.352,                 3.5498,                 2.2083,             0.00063903,             0.00063903,             0.00063903
                     11,                 0.6249,                0.35786,                0.85296,                0.52004,                0.30409,                0.34538,                0.19639,                 3.3844,                 3.5708,                 2.1949,             0.00060903,             0.00060903,             0.00060903
                     12,                0.60533,                0.34958,                0.84887,                0.44918,                0.23308,                0.33211,                0.21584,                 3.3547,                 4.4202,                 2.1334,             0.00057903,             0.00057903,             0.00057903
                     13,                0.58637,                 0.3393,                0.84522,                0.49038,                0.23601,                 0.3139,                 0.2105,                 3.2654,                 3.5854,                 2.1111,             0.00054904,             0.00054904,             0.00054904
                     14,                0.57108,                0.33113,                 0.8408,                0.53263,                0.22444,                0.35195,                0.23294,                 3.3335,                 4.0177,                  2.116,             0.00051904,             0.00051904,             0.00051904
                     15,                0.55884,                0.32529,                0.83873,                 0.6286,                0.19245,                0.30583,                0.18922,                 3.4141,                 3.8428,                 2.2132,             0.00048904,             0.00048904,             0.00048904
                     16,                0.54469,                0.31842,                0.83646,                0.54099,                0.19921,                0.33341,                0.22707,                 3.2965,                 4.2123,                 2.1772,             0.00045904,             0.00045904,             0.00045904
                     17,                0.53126,                0.31129,                0.83347,                 0.4462,                0.23524,                0.35019,                0.23816,                 3.3975,                 3.9166,                 2.2024,             0.00042905,             0.00042905,             0.00042905
                     18,                0.52108,                0.30509,                0.83148,                0.45539,                0.22799,                0.35475,                0.24067,                 3.2868,                 3.7374,                 2.1894,             0.00039905,             0.00039905,             0.00039905
                     19,                0.51227,                0.30106,                0.82862,                0.52464,                0.30281,                0.36881,                0.26086,                 3.2874,                 3.9758,                 2.1992,             0.00036905,             0.00036905,             0.00036905
                     20,                0.49619,                0.29176,                0.82684,                0.49816,                0.22618,                 0.3496,                0.22524,                 3.3285,                 3.8243,                  2.256,             0.00033906,             0.00033906,             0.00033906
                     21,                0.50241,                 0.2853,                0.82579,                0.57362,                0.30434,                0.36041,                 0.2526,                 3.3282,                 3.4771,                 2.3251,             0.00030906,             0.00030906,             0.00030906
                     22,                0.49162,                0.27966,                0.82188,                0.57575,                0.26681,                0.40081,                0.27361,                 3.3053,                 3.7988,                 2.2915,             0.00027906,             0.00027906,             0.00027906
                     23,                0.47777,                0.26989,                0.82063,                0.55627,                0.30678,                0.39166,                0.26794,                 3.3168,                 3.6803,                 2.3192,             0.00024907,             0.00024907,             0.00024907
                     24,                0.45323,                0.26078,                0.81541,                0.64408,                0.32802,                0.40613,                0.28008,                  3.234,                 3.6764,                 2.2357,             0.00021907,             0.00021907,             0.00021907
                     25,                0.43588,                0.25117,                0.81112,                0.65747,                0.32044,                0.40591,                0.28923,                 3.2873,                 3.7474,                 2.2934,             0.00018907,             0.00018907,             0.00018907
                     26,                0.42483,                0.24468,                0.80882,                0.63416,                0.31251,                0.41307,                0.28163,                 3.3164,                 3.5546,                 2.2927,             0.00015907,             0.00015907,             0.00015907
                     27,                0.40985,                0.23604,                0.80644,                 0.6399,                 0.3177,                0.41692,                0.28815,                  3.318,                 3.7565,                  2.279,             0.00012908,             0.00012908,             0.00012908
                     28,                0.39472,                0.22868,                0.80302,                0.62117,                0.29802,                  0.427,                0.30277,                 3.2527,                 3.7087,                 2.2563,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.37609,                0.22099,                0.80004,                0.64296,                0.30624,                0.42808,                0.30367,                 3.2678,                 3.7626,                 2.2658,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.36014,                0.21366,                0.79686,                  0.665,                0.31462,                0.43813,                 0.3087,                 3.2714,                 3.8021,                 2.3216,             3.9087e-05,             3.9087e-05,             3.9087e-05
