                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7235,                 3.3274,                 1.9275,                0.40557,                0.18366,                0.05738,                0.02688,                 2.7154,                 2.6407,                 1.9063,             0.00029819,             0.00029819,             0.00029819
                      2,                 1.7012,                 1.2725,                   1.26,                0.50171,                0.12105,                0.12976,                0.06501,                 3.0011,                 2.6128,                 2.0154,             0.00058135,             0.00058135,             0.00058135
                      3,                 1.3475,                0.93201,                 1.0895,                0.25719,                0.13931,                 0.0966,                0.06069,                 3.0937,                 3.0264,                 2.1606,             0.00084451,             0.00084451,             0.00084451
                      4,                 1.2095,                 0.7924,                 1.0329,                0.62308,                0.24409,                0.24141,                0.13496,                 2.9527,                 3.2178,                 2.0558,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.0657,                 0.6843,                 0.9778,                0.64588,                0.25231,                0.25162,                0.15617,                 2.9975,                 3.0055,                  2.177,             0.00078901,             0.00078901,             0.00078901
                      6,                0.98591,                0.63265,                0.95444,                0.66268,                0.23966,                0.25699,                0.12747,                 3.1143,                 2.9764,                 2.1637,             0.00075902,             0.00075902,             0.00075902
                      7,                0.91452,                0.57564,                0.92435,                0.49683,                0.26285,                0.26811,                0.17013,                 2.9806,                 3.0967,                 2.3067,             0.00072902,             0.00072902,             0.00072902
                      8,                 0.8722,                0.54296,                 0.9131,                0.72387,                0.18015,                0.19164,                0.13458,                   2.97,                 3.5429,                 2.1933,             0.00069902,             0.00069902,             0.00069902
                      9,                0.85625,                0.52663,                0.90398,                0.41764,                 0.2367,                0.22063,                0.12514,                 2.9797,                 3.5747,                 2.0702,             0.00066902,             0.00066902,             0.00066902
                     10,                0.80849,                0.50751,                 0.8953,                0.51971,                0.24657,                0.25795,                0.12913,                 3.1883,                 3.7333,                 2.2922,             0.00063903,             0.00063903,             0.00063903
                     11,                0.77587,                 0.4831,                0.88542,                0.50996,                0.26438,                0.27019,                0.14316,                 3.0664,                 3.8046,                 2.2567,             0.00060903,             0.00060903,             0.00060903
                     12,                0.76571,                0.47115,                0.88182,                0.37105,                0.19954,                0.18865,                0.11646,                 3.0094,                 3.8523,                 2.2869,             0.00057903,             0.00057903,             0.00057903
                     13,                0.73607,                0.45779,                 0.8728,                0.25591,                0.23047,                 0.2184,                0.14797,                 2.9464,                 3.6586,                  2.211,             0.00054904,             0.00054904,             0.00054904
                     14,                0.70648,                0.44545,                0.86881,                 0.2138,                0.20225,                0.19842,                0.11344,                 2.8988,                 3.9468,                 1.9933,             0.00051904,             0.00051904,             0.00051904
                     15,                0.70736,                0.43687,                0.86537,                 0.9094,                0.18211,                0.19179,                 0.1004,                 3.0422,                 3.6064,                  2.139,             0.00048904,             0.00048904,             0.00048904
                     16,                0.69635,                0.43145,                0.86267,                0.73998,                0.18278,                0.19106,                0.10405,                 2.9843,                 3.4566,                  2.188,             0.00045904,             0.00045904,             0.00045904
                     17,                0.66501,                0.41651,                0.85794,                  0.207,                0.22248,                0.20559,                0.11961,                 3.0422,                 3.4247,                 2.0951,             0.00042905,             0.00042905,             0.00042905
                     18,                0.65217,                0.40659,                0.84746,                0.73148,                0.18211,                0.18269,                0.11572,                 2.9941,                 3.7015,                 2.1227,             0.00039905,             0.00039905,             0.00039905
                     19,                0.63775,                0.40065,                0.84857,                0.53861,                 0.1823,                0.18458,                0.10553,                 3.1744,                 3.7447,                 2.2703,             0.00036905,             0.00036905,             0.00036905
                     20,                0.60841,                0.38843,                0.84396,                0.38191,                0.18182,                0.18697,                0.10692,                 3.1313,                 3.4573,                 2.2642,             0.00033906,             0.00033906,             0.00033906
                     21,                0.62522,                0.38476,                0.84813,                0.36446,                0.14591,                0.18152,                0.11339,                 3.0676,                  3.707,                 2.3243,             0.00030906,             0.00030906,             0.00030906
                     22,                0.60364,                0.37184,                0.84171,                0.56644,                0.16676,                0.19511,                0.11555,                 3.0657,                 3.6641,                 2.2396,             0.00027906,             0.00027906,             0.00027906
                     23,                0.58161,                0.35985,                0.83742,                 0.3931,                0.19977,                0.19845,                 0.1291,                 3.1087,                 3.7329,                 2.2394,             0.00024907,             0.00024907,             0.00024907
                     24,                0.57313,                  0.355,                0.83682,                0.41835,                0.21242,                0.22636,                0.13743,                 3.0247,                 3.6504,                 2.2845,             0.00021907,             0.00021907,             0.00021907
                     25,                0.54789,                0.34339,                0.82903,                0.41001,                 0.2094,                0.21891,                0.12054,                 3.0749,                 3.7179,                 2.2843,             0.00018907,             0.00018907,             0.00018907
                     26,                0.52675,                0.33084,                0.82391,                0.38263,                0.19578,                0.20587,                0.11988,                 3.0467,                 3.9189,                 2.2866,             0.00015907,             0.00015907,             0.00015907
                     27,                0.50552,                0.32101,                0.82282,                0.40402,                 0.2022,                0.21576,                0.13211,                 3.0181,                 3.9265,                 2.2173,             0.00012908,             0.00012908,             0.00012908
                     28,                0.49837,                0.31676,                0.82259,                0.38361,                0.17742,                0.20698,                0.11712,                  3.104,                 4.0404,                 2.2799,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.48419,                0.30833,                 0.8172,                0.37544,                0.18601,                0.20095,                0.11996,                 3.0966,                 3.8991,                 2.2901,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.46426,                0.29957,                0.81472,                0.38398,                0.19022,                0.20664,                0.12273,                 3.0814,                 3.9643,                 2.2928,             3.9087e-05,             3.9087e-05,             3.9087e-05
