                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9791,                 1.9465,                 1.4417,                0.19944,                0.04746,                0.03242,                0.00902,                  3.271,                 2.6684,                  2.109,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.1775,                0.73881,                0.99926,                0.52732,                0.11104,                0.13208,                0.03228,                 3.2854,                 3.2372,                  2.146,             0.00059321,             0.00059321,             0.00059321
                      3,                 1.0426,                0.63309,                0.95649,                0.37055,                0.17769,                0.17705,                0.04544,                 3.3966,                 3.4421,                 2.2055,             0.00087223,             0.00087223,             0.00087223
                      4,                0.94172,                0.56351,                0.92541,                0.48204,                0.11386,                 0.1019,                0.01486,                 3.6331,                 3.5535,                 2.3027,             0.00085501,             0.00085501,             0.00085501
                      5,                 0.8759,                0.52407,                0.90716,                0.29338,                 0.1354,                0.10471,                0.02858,                 3.5179,                  3.724,                 2.2002,             0.00083701,             0.00083701,             0.00083701
                      6,                0.83557,                0.49548,                0.89369,                0.04359,                 0.1071,                0.03851,                0.00821,                 3.5657,                 4.5724,                 2.2653,             0.00081901,             0.00081901,             0.00081901
                      7,                0.78063,                0.46475,                0.88213,                0.03185,                0.07337,                 0.0252,                0.00847,                 3.5809,                 4.1327,                 2.3552,             0.00080101,             0.00080101,             0.00080101
                      8,                0.75615,                0.45213,                0.87537,                0.09587,                0.10941,                0.08048,                0.01751,                 3.5959,                 4.1243,                 2.2841,             0.00078301,             0.00078301,             0.00078301
                      9,                0.73207,                0.43624,                0.86905,                0.05702,                0.07822,                  0.039,                0.00974,                 3.4249,                 4.2891,                 2.1275,             0.00076501,             0.00076501,             0.00076501
                     10,                0.71573,                 0.4267,                0.86561,                0.06449,                 0.0842,                0.05042,                0.01627,                 3.4751,                 4.3257,                 2.2565,             0.00074702,             0.00074702,             0.00074702
                     11,                0.69009,                0.41308,                0.85931,                0.09004,                0.17194,                0.09959,                0.02944,                 3.4196,                 4.2725,                 2.2462,             0.00072902,             0.00072902,             0.00072902
                     12,                0.67566,                0.40569,                0.85691,                0.08318,                0.14732,                0.07272,                0.02696,                 3.4229,                 4.4187,                 2.2355,             0.00071102,             0.00071102,             0.00071102
                     13,                 0.6563,                0.39492,                0.85183,                0.59966,                  0.169,                0.18464,                0.08693,                 3.4041,                 4.6391,                 2.2762,             0.00069302,             0.00069302,             0.00069302
                     14,                0.65093,                 0.3892,                0.84954,                0.07944,                0.03176,                0.04261,                0.01225,                  3.671,                 4.7299,                 2.3984,             0.00067502,             0.00067502,             0.00067502
                     15,                 0.6331,                0.38034,                0.84558,                0.07109,                0.13445,                0.07298,                0.02286,                 3.5667,                 4.4759,                 2.2323,             0.00065703,             0.00065703,             0.00065703
                     16,                0.62341,                0.37503,                0.84404,                0.18144,                0.10977,                0.13812,                 0.0486,                 3.4679,                 4.2281,                 2.3421,             0.00063903,             0.00063903,             0.00063903
                     17,                0.61321,                0.37062,                0.84272,                0.07635,                0.13944,                0.06766,                0.02393,                 3.6135,                 4.4327,                 2.3113,             0.00062103,             0.00062103,             0.00062103
                     18,                 0.6032,                0.36462,                0.84058,                0.09037,                0.10763,                0.06651,                0.02623,                 3.6348,                 4.7854,                 2.4457,             0.00060303,             0.00060303,             0.00060303
                     19,                0.59499,                0.35721,                0.83667,                0.09636,                 0.1787,                0.10018,                0.03485,                 3.5665,                  4.215,                 2.3699,             0.00058503,             0.00058503,             0.00058503
                     20,                0.57985,                0.35042,                 0.8356,                0.10224,                0.16283,                0.11061,                0.03904,                 3.5921,                 4.3231,                 2.3548,             0.00056703,             0.00056703,             0.00056703
