                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2925,                 2.3123,                 1.5452,                0.37321,                0.05819,                0.02968,                0.00609,                 3.0615,                 2.8352,                 1.8681,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.3869,                  1.081,                 1.0686,                0.38056,                0.04834,                0.05663,                 0.0142,                 3.0763,                 2.8837,                 1.9595,             0.00058522,             0.00058522,             0.00058522
                      3,                 1.1927,                0.83983,                0.99459,                0.18042,                0.17547,                0.09339,                0.03884,                 3.1325,                 2.8647,                 1.9653,             0.00084825,             0.00084825,             0.00084825
                      4,                 1.0873,                0.72646,                0.95828,                0.30319,                0.14402,                 0.1025,                0.02894,                 3.3384,                 3.1219,                 2.0432,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.0114,                0.65362,                0.93675,                0.31659,                0.18638,                 0.1369,                0.03176,                 3.3053,                 3.4302,                 2.0755,             0.00078901,             0.00078901,             0.00078901
                      6,                0.94115,                0.59817,                0.91566,                0.60178,                0.17896,                0.19616,                0.08579,                 3.2397,                 3.2195,                 2.0564,             0.00075902,             0.00075902,             0.00075902
                      7,                0.91036,                0.57419,                0.90836,                0.05441,                0.23244,                0.07913,                0.02556,                 3.2487,                 3.9809,                 2.0048,             0.00072902,             0.00072902,             0.00072902
                      8,                0.86094,                0.54107,                0.89633,                 0.3461,                 0.1477,                0.12469,                0.04474,                 3.2452,                 3.5244,                 2.0179,             0.00069902,             0.00069902,             0.00069902
                      9,                0.83174,                0.51932,                0.88814,                0.33739,                0.17856,                0.16589,                0.05886,                 3.3885,                 3.6324,                 2.0872,             0.00066902,             0.00066902,             0.00066902
                     10,                0.80932,                 0.4993,                0.88183,                0.33626,                 0.1821,                 0.1177,                0.04666,                  3.312,                 3.8548,                 2.0766,             0.00063903,             0.00063903,             0.00063903
                     11,                0.77837,                0.48227,                0.87497,                0.34857,                 0.1391,                0.09216,                0.02791,                 3.3629,                 3.6168,                 2.1177,             0.00060903,             0.00060903,             0.00060903
                     12,                0.76303,                0.47253,                0.87088,                0.26064,                 0.1961,                0.10398,                0.04524,                 3.0927,                 3.6892,                 1.9932,             0.00057903,             0.00057903,             0.00057903
                     13,                0.73992,                0.46048,                 0.8659,                0.05092,                0.24147,                0.08921,                   0.03,                  3.278,                 3.3452,                 2.1863,             0.00054904,             0.00054904,             0.00054904
                     14,                0.73028,                0.45079,                0.86238,                0.06346,                0.18862,                0.09524,                0.03566,                 3.3615,                  3.863,                 2.0934,             0.00051904,             0.00051904,             0.00051904
                     15,                0.71408,                0.44275,                0.85993,                 0.3841,                0.16592,                0.11641,                0.04033,                 3.2298,                 3.8978,                 2.0266,             0.00048904,             0.00048904,             0.00048904
                     16,                0.70597,                0.43886,                0.85861,                0.09748,                  0.228,                0.11811,                  0.046,                 3.1343,                 3.7927,                 1.9885,             0.00045904,             0.00045904,             0.00045904
                     17,                0.68275,                0.42572,                0.85432,                0.10017,                0.21689,                0.12495,                0.05471,                 3.3262,                 4.4058,                 2.0249,             0.00042905,             0.00042905,             0.00042905
                     18,                 0.6685,                0.41729,                0.85204,                 0.3162,                0.13909,                0.12279,                0.04945,                 3.2345,                 3.6818,                 2.0707,             0.00039905,             0.00039905,             0.00039905
                     19,                0.66153,                0.41068,                0.84848,                0.31558,                   0.18,                0.11663,                0.04672,                  3.177,                 3.6813,                 2.0345,             0.00036905,             0.00036905,             0.00036905
                     20,                0.64161,                 0.3995,                0.84576,                0.32378,                0.14482,                0.12429,                0.05261,                 3.2152,                  3.995,                 1.9824,             0.00033906,             0.00033906,             0.00033906
                     21,                0.64156,                0.39076,                0.84652,                0.29895,                0.21884,                0.11985,                 0.0462,                 3.1787,                 4.1137,                  1.999,             0.00030906,             0.00030906,             0.00030906
                     22,                0.61293,                0.37683,                 0.8384,                0.10545,                0.21442,                0.12759,                0.04862,                 3.0825,                 3.8014,                 1.9769,             0.00027906,             0.00027906,             0.00027906
                     23,                0.59828,                0.36733,                0.83752,                0.10615,                0.23759,                0.12305,                0.05066,                 3.1547,                 4.1399,                 2.0145,             0.00024907,             0.00024907,             0.00024907
                     24,                0.57556,                0.35636,                0.83341,                0.11489,                0.23883,                0.14205,                 0.0665,                 3.0557,                 4.0943,                  2.008,             0.00021907,             0.00021907,             0.00021907
                     25,                0.55674,                0.34616,                0.82959,                 0.1145,                0.23245,                0.12426,                0.05065,                 3.1762,                 4.2506,                 2.0553,             0.00018907,             0.00018907,             0.00018907
                     26,                0.54741,                0.34242,                0.82617,                0.10962,                0.21955,                0.12326,                0.04653,                 3.1926,                 4.2313,                 2.0029,             0.00015907,             0.00015907,             0.00015907
                     27,                 0.5315,                0.33362,                0.82413,                0.12311,                0.21553,                0.12882,                 0.0585,                 3.1929,                 4.3577,                 2.0296,             0.00012908,             0.00012908,             0.00012908
                     28,                 0.5167,                0.32616,                0.82071,                0.13126,                0.21059,                 0.1245,                0.06045,                 3.2151,                 4.3796,                 2.0105,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.49783,                 0.3186,                0.81856,                 0.1257,                 0.2223,                0.12893,                0.06155,                 3.1601,                 4.2713,                 2.0137,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.48674,                0.31219,                0.81654,                0.12639,                 0.2189,                0.12528,                0.05932,                 3.2214,                 4.4007,                 2.0331,             3.9087e-05,             3.9087e-05,             3.9087e-05
