                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 481.46,                      0,                      0,                      0,                      0,                      0,                      0,                 1841.8,                      0,             0.00029434,             0.00029434,             0.00029434
                      2,                      0,                 58.368,                      0,                      0,                      0,                      0,                      0,                      0,                 5756.2,                      0,             0.00053821,             0.00053821,             0.00053821
                      3,                      0,                 19.933,                      0,                      0,                      0,                      0,                      0,                      0,                  14.78,                      0,             0.00072207,             0.00072207,             0.00072207
                      4,                      0,                 9.7505,                      0,                      0,                      0,                      0,                      0,                      0,                0.63232,                      0,             0.00063903,             0.00063903,             0.00063903
