                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2925,                 2.3123,                 1.5452,                0.71058,                0.11777,                0.11804,                0.06281,                 2.9111,                 2.5264,                 1.7353,             0.00030219,             0.00030219,             0.00030219
                      2,                 1.3865,                   1.08,                  1.069,                0.72237,                0.12172,                0.13327,                0.08454,                  2.949,                 2.6151,                 1.7852,             0.00057524,             0.00057524,             0.00057524
                      3,                 1.1981,                0.84803,                0.99608,                0.78631,                  0.134,                0.19058,                0.10639,                 2.8639,                 2.5199,                 1.9067,             0.00081828,             0.00081828,             0.00081828
                      4,                 1.0762,                0.71921,                0.95546,                0.64464,                0.15766,                0.19082,                0.10757,                 3.0922,                 2.6615,                 1.9704,             0.00077401,             0.00077401,             0.00077401
                      5,                0.99553,                 0.6474,                0.93198,                0.59883,                 0.2052,                0.23946,                0.12304,                  2.925,                 2.8919,                 1.8839,             0.00072902,             0.00072902,             0.00072902
                      6,                0.93782,                0.59816,                0.91437,                0.69236,                0.22419,                 0.2561,                0.13373,                 2.7911,                 2.7463,                 1.8144,             0.00068402,             0.00068402,             0.00068402
                      7,                 0.8928,                0.56702,                0.90304,                0.37003,                  0.281,                0.29465,                0.14923,                 2.9288,                 3.1481,                 1.8365,             0.00063903,             0.00063903,             0.00063903
                      8,                0.85838,                0.53695,                0.89225,                 0.8464,                0.26266,                0.30052,                 0.1553,                 2.8677,                 2.7455,                 1.9043,             0.00059403,             0.00059403,             0.00059403
                      9,                0.81674,                0.51391,                0.88403,                0.42884,                0.30805,                0.31322,                 0.1707,                 2.8847,                 2.9417,                 1.8573,             0.00054904,             0.00054904,             0.00054904
                     10,                0.79151,                0.49319,                0.87828,                0.47611,                0.27752,                0.29691,                0.15694,                 2.7827,                 3.0519,                 1.8638,             0.00050404,             0.00050404,             0.00050404
                     11,                0.78008,                0.47789,                0.87934,                0.30878,                0.24845,                0.25388,                0.14649,                 2.9257,                 3.2432,                 1.9416,             0.00045904,             0.00045904,             0.00045904
                     12,                 0.7436,                0.45683,                0.86922,                0.55313,                0.28844,                0.33308,                0.18962,                 2.8038,                 3.1028,                 1.8314,             0.00041405,             0.00041405,             0.00041405
                     13,                0.70825,                0.43442,                0.86294,                0.39059,                0.26895,                 0.2898,                0.17254,                   2.87,                 3.1627,                 1.9179,             0.00036905,             0.00036905,             0.00036905
                     14,                0.67591,                0.41772,                0.85516,                0.56702,                 0.2769,                0.30635,                0.17272,                 2.7766,                 3.3915,                 1.8248,             0.00032406,             0.00032406,             0.00032406
                     15,                0.65025,                0.40254,                0.84889,                0.95146,                0.25985,                0.34517,                0.19128,                 2.8011,                 3.4204,                 1.8757,             0.00027906,             0.00027906,             0.00027906
                     16,                0.62386,                0.38874,                0.84352,                0.50574,                0.28397,                0.34056,                0.19265,                 2.8104,                 3.6905,                 1.8555,             0.00023407,             0.00023407,             0.00023407
                     17,                0.59824,                0.37499,                0.83778,                0.61716,                 0.2525,                0.31827,                0.17218,                 2.8285,                 3.2838,                 1.8838,             0.00018907,             0.00018907,             0.00018907
                     18,                0.57495,                0.36348,                0.83275,                0.65135,                0.30177,                0.34466,                0.19382,                 2.7472,                 3.5006,                 1.8367,             0.00014408,             0.00014408,             0.00014408
                     19,                0.55568,                0.35348,                0.82969,                0.70886,                0.30438,                0.35655,                0.19835,                 2.7663,                 3.4268,                 1.8931,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                0.52728,                0.34141,                0.82597,                0.71084,                 0.2967,                0.35241,                0.20642,                 2.7584,                 3.4598,                  1.849,             5.4086e-05,             5.4086e-05,             5.4086e-05
